Company Name;Nome;Código CVM;CNPJ;Segmento;Tickers
AUTOGERAÇÃO SOLAR PARTICIPAÇÕES VI HOLDING S.A;SOLAR PARTIC;900199;53431099000142;Não Classificados;N/A
AUTOGERACAO SOLAR PARTICIPACOES VI S.A.;AUTO SOLAR;900252;53047240000108;Não Classificados;N/A
AUTOGERAÇÃO SOLAR PARTICIPAÇÕES VII S.A;AUTOGERVII;900465;55167344000181;Não Classificados;N/A
AUTOMOB PARTICIPAÇÕES S.A.;AUTOMOB;27707;35654688000108;Automóveis e Motocicletas;AMOB3
AUTOMOB S.A.;AUTO S.A.;27413;43513237000189;Holdings Diversificadas;N/A
AUTOPASS S.A.;AUTOPASS S.A.;913657;7140538000140;Não Classificados;N/A
AUTOPISTA FERNÃO DIAS SA;AUTOFERDIAS;21989;9326342000170;Não Classificados;N/A
AUTOPISTA LITORAL SUL;AUTOLITSUL;21997;9313969000197;Não Classificados;N/A
AUTOPISTA PLANALTO SUL SA;AUTOPLANSUL;21970;9325109000173;Não Classificados;N/A
AUTOPISTA REGIS BITTENCOURT SA;AUTOREGIS;21962;9336431000106;Não Classificados;N/A
AUTOSTRADE CONCESSOES E PARTICIPAÇÕES BRASIL LTDA.;AUTOSTRADE;910653;2530164000156;Não Classificados;N/A
AUTOVIAÇÃO 1001 LTDA;AUTOVIAÇÃO;900457;30069314000101;Não Classificados;N/A
AVENUE HOLDING LTDA.;AVENUE HOLD;900416;29480786000173;Não Classificados;N/A
AVG EMPREENDIMENTOS MINERÁRIOS S.A;AVGEMPREEND;900057;16565897000130;Não Classificados;N/A
AXIS SOLAR III EMPREENDIMENTOS E PARTICIPAÇÕES S.A;AXISSOLARIII;917641;34175032000140;Não Classificados;N/A
AXIS SOLAR IX EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;AXISSOLAR IX;917566;43880268000178;Não Classificados;N/A
AXIS SOLAR V EMPREENDIMENTOS E PARTICIPACOES;AXIS SOLAR V;900277;35917935000111;Não Classificados;N/A
AXIS SOLAR X E E PARTICIPACOES S.A.;AXIS SOLAR X;900313;48929019000143;Não Classificados;N/A
AXIS SOLAR XI EMPREENDIMENTOS E PARTICIPACOES S.A.;AXIS SOLAR;900452;55511006000115;Não Classificados;N/A
AXS ENERGIA UFV GOIAS SPE S.A. ;AXS GOIAS;900404;46409396000126;Não Classificados;N/A
AXS ENERGIA UNIDADE 02 S.A.;AXSENERGIA2;917620;45870799000105;Não Classificados;N/A
AXS ENERGIA UNIDADE 05 S.A. ;AXS ENERGIA;900115;42029651000154;Não Classificados;N/A
